"","mom","embryo","Treatment","Elevation","Estimate","Std. Error","t value","Pr(>|t|)","coll_date","coll_date_numeric","Treatment_numeric","Elevation_numeric","Mom_numeric"
"102","Higher zone WINTER 5",3,"Heat Shock","Higher",0.0215180508801843,0.0120926574550072,-1.77943111017953,0.325944454823378,"Winter",1,1,1,9
"103","Higher zone WINTER 5",4,"Heat Shock","Higher",0.0143059678666585,0.00348168602563112,-4.10891957555686,0.0544388645908981,"Winter",1,1,1,9
"104","Higher zone WINTER 5",5,"Heat Shock","Higher",0.0139325577603687,0.0027744337522888,-5.02176624288644,0.125135183413832,"Winter",1,1,1,9
"105","Higher zone WINTER 5",6,"Heat Shock","Higher",0.0147329324700461,0.00382527925780047,-3.85146586095717,0.1617218821912,"Winter",1,1,1,9
"106","Higher zone WINTER 5",7,"Heat Shock","Higher",0.0127740787373272,0.00227052542519426,-5.62604522970022,0.111986261912704,"Winter",1,1,1,9
"107","Higher zone WINTER 5",8,"Heat Shock","Higher",0.0279816403732719,0.0143999493860932,-1.94317630034834,0.302570192703192,"Winter",1,1,1,9
"108","Higher zone WINTER 5",9,"Heat Shock","Higher",0.0259202883317972,0.00891741224382462,-2.90670517668926,0.210942929259234,"Winter",1,1,1,9
"109","Higher zone WINTER 5",10,"Heat Shock","Higher",0.0111478094792627,0.00133282374414672,-8.36405378297003,0.0757541944732026,"Winter",1,1,1,9
"110","Higher zone WINTER 5",11,"Heat Shock","Higher",0.0270112546451613,0.0119850190378438,-2.25375150092551,0.265856482235897,"Winter",1,1,1,9
"111","Higher zone WINTER 5",12,"Heat Shock","Higher",0.0123538813824885,0.000280338481391953,-44.0677331244297,0.0144439136491851,"Winter",1,1,1,9
"112","Higher zone WINTER 6",1,"Control","Higher",0.0145292141382894,0.00233951075928078,-6.21036431683518,0.00158144856196647,"Winter",1,0,1,10
"113","Higher zone WINTER 6",2,"Control","Higher",0.0117529345474453,0.00383456330306004,-3.06499948457396,0.0919953544766085,"Winter",1,0,1,10
"114","Higher zone WINTER 6",3,"Control","Higher",0.00764724890532546,0.00119561981167385,-6.39605402207195,0.0987338952422517,"Winter",1,0,1,10
"115","Higher zone WINTER 6",4,"Control","Higher",0.0151620843233413,0.00190593916951551,-7.95517746098659,0.000506059587502832,"Winter",1,0,1,10
"116","Higher zone WINTER 6",5,"Control","Higher",0.0161004131435851,0.00124663919622009,-12.9150544860156,4.95818633357853e-05,"Winter",1,0,1,10
"117","Higher zone WINTER 6",6,"Control","Higher",0.0162112290721423,0.00124762298178899,-12.9936922522032,4.81358207850926e-05,"Winter",1,0,1,10
"118","Higher zone WINTER 6",7,"Control","Higher",0.0149112693901878,0.00173416334600907,-8.5985379776963,0.000350928104083872,"Winter",1,0,1,10
"119","Higher zone WINTER 6",8,"Control","Higher",0.0160574363021583,0.00129580503987761,-12.3918612815975,6.06438281810403e-05,"Winter",1,0,1,10
"120","Higher zone WINTER 6",9,"Control","Higher",0.0144688497345124,0.00113299339746708,-12.7704625347852,5.23785817896628e-05,"Winter",1,0,1,10
"121","Higher zone WINTER 6",10,"Control","Higher",0.0150680234894085,0.00210217373989908,-7.16782975803505,0.000821883428163448,"Winter",1,0,1,10
"122","Higher zone WINTER 6",11,"Control","Higher",0.0151366833988809,0.00153960958908728,-9.83150761476766,0.000185451009042933,"Winter",1,0,1,10
"123","Higher zone WINTER 6",12,"Control","Higher",0.0148212275352718,0.00247816201927292,-5.98073387454314,0.00187289287584493,"Winter",1,0,1,10
"124","Higher zone WINTER 6",1,"Heat Shock","Higher",0.0161476942969009,0.00174805349789328,-9.23752866623468,0.000249737947878403,"Winter",1,1,1,10
"125","Higher zone WINTER 6",2,"Heat Shock","Higher",0.0157593449454898,0.00165529203723825,-9.52058282826225,0.000216258670234307,"Winter",1,1,1,10
"126","Higher zone WINTER 6",3,"Heat Shock","Higher",0.0160015542024534,0.00102867866662526,-15.5554447871939,1.99457945944995e-05,"Winter",1,1,1,10
"127","Higher zone WINTER 6",4,"Heat Shock","Higher",0.0158367742828897,0.00844937627015362,-1.87431282221756,0.201736692022166,"Winter",1,1,1,10
"128","Higher zone WINTER 6",5,"Heat Shock","Higher",0.0164696178919019,0.00150612923866516,-10.9350628545652,0.000111186040267103,"Winter",1,1,1,10
"129","Higher zone WINTER 6",6,"Heat Shock","Higher",0.0162443288637705,0.00127667212229136,-12.7239630130055,5.33177730236568e-05,"Winter",1,1,1,10
"130","Higher zone WINTER 6",7,"Heat Shock","Higher",0.0152147717148128,0.00127052707777106,-11.9751652530733,7.16117037285471e-05,"Winter",1,1,1,10
"131","Higher zone WINTER 6",8,"Heat Shock","Higher",0.0150363216484043,0.00161633452576663,-9.30272874129976,0.00024150874167686,"Winter",1,1,1,10
"132","Higher zone WINTER 6",9,"Heat Shock","Higher",0.0151303040817192,0.00156071421821282,-9.69447443045982,0.000198337160754881,"Winter",1,1,1,10
"133","Higher zone WINTER 6",10,"Heat Shock","Higher",0.0163040674835824,0.00126196486417631,-12.919589083983,4.94970801889504e-05,"Winter",1,1,1,10
"134","Higher zone WINTER 6",11,"Heat Shock","Higher",0.0166359391113263,0.000755152117752275,-22.0299178407173,3.57848426836408e-06,"Winter",1,1,1,10
"135","Higher zone WINTER 6",12,"Heat Shock","Higher",0.0169103016318022,0.000926278887818448,-18.2561665327697,9.06556650486654e-06,"Winter",1,1,1,10
"136","Higher zone WINTER 7",1,"Control","Higher",0.0108929220839416,0.000992751680684488,-10.972453933728,0.00820393769037307,"Winter",1,0,1,11
"137","Higher zone WINTER 7",2,"Control","Higher",0.0141392109497041,0.00346555264838841,-4.07992963439159,0.15302031321812,"Winter",1,0,1,11
"138","Higher zone WINTER 7",3,"Control","Higher",0.0113496620384615,0.000304131800561099,-37.3182351122846,0.0170551329673066,"Winter",1,0,1,11
"139","Higher zone WINTER 7",4,"Control","Higher",0.0124358990207101,0.00108290360759106,-11.4838467002377,0.0552966237210427,"Winter",1,0,1,11
"140","Higher zone WINTER 7",5,"Control","Higher",0.0117924743254438,0.00189363881858297,-6.22741475814708,0.101363240389208,"Winter",1,0,1,11
"141","Higher zone WINTER 7",6,"Control","Higher",0.011674924816568,0.00210598541891623,-5.54368739294318,0.113615093321681,"Winter",1,0,1,11
"142","Higher zone WINTER 7",7,"Control","Higher",0.0126613463579882,0.00222104403211306,-5.70062825181472,0.110550577436268,"Winter",1,0,1,11
"143","Higher zone WINTER 7",8,"Control","Higher",0.0145200556242604,0.00140256687684917,-10.352487188974,0.0613041825444431,"Winter",1,0,1,11
"144","Higher zone WINTER 7",9,"Control","Higher",0.0153173261386861,0.00186790008864932,-8.20029199193524,0.0145473324160628,"Winter",1,0,1,11
"145","Higher zone WINTER 7",10,"Control","Higher",0.0167243411597633,0.0022415224736394,-7.46115256770512,0.0848191192306679,"Winter",1,0,1,11
"146","Higher zone WINTER 7",11,"Control","Higher",0.0186932848076923,0.00556317205692766,-3.360184552339,0.184146082136923,"Winter",1,0,1,11
"147","Higher zone WINTER 7",12,"Control","Higher",0.0174792436893491,0.00361322020805737,-4.83758051899825,0.129770983067348,"Winter",1,0,1,11
"148","Higher zone WINTER 7",1,"Heat Shock","Higher",0.0210614410414747,0.0078547764449754,-2.68135461130118,0.227253225654692,"Winter",1,1,1,11
"149","Higher zone WINTER 7",2,"Heat Shock","Higher",0.0252410994331797,0.00343344195323072,-7.3515439541446,0.0860684958257571,"Winter",1,1,1,11
"150","Higher zone WINTER 7",3,"Heat Shock","Higher",0.0240796456751152,0.00778035061687333,-3.09493066069458,0.198956805368288,"Winter",1,1,1,11
"151","Higher zone WINTER 7",4,"Heat Shock","Higher",0.0185825683271889,0.00159691003363022,-11.6365781013634,0.0545744232210799,"Winter",1,1,1,11
"152","Higher zone WINTER 7",5,"Heat Shock","Higher",0.0137710891809886,0.00218970460375732,-6.2890168643564,0.024363166787014,"Winter",1,1,1,11
"153","Higher zone WINTER 7",6,"Heat Shock","Higher",0.0168864363018433,0.00587310693285553,-2.87521349345381,0.21308542150339,"Winter",1,1,1,11
"154","Higher zone WINTER 7",7,"Heat Shock","Higher",0.0154813475969582,0.0011202301000784,-13.819792555007,0.00519520018976651,"Winter",1,1,1,11
"155","Higher zone WINTER 7",8,"Heat Shock","Higher",0.0161665590069125,0.00470753416522414,-3.43418835413651,0.180389017541989,"Winter",1,1,1,11
"156","Higher zone WINTER 7",9,"Heat Shock","Higher",0.0226415709078341,0.0033546768230295,-6.74925547295707,0.0936431696762768,"Winter",1,1,1,11
"157","Higher zone WINTER 7",10,"Heat Shock","Higher",0.0149580776728111,0.00157763252365061,-9.48134464051135,0.0668971381403923,"Winter",1,1,1,11
"158","Higher zone WINTER 7",11,"Heat Shock","Higher",0.0167347447419355,0.00488833475570759,-3.42340399711704,0.180927211548706,"Winter",1,1,1,11
"159","Higher zone WINTER 7",12,"Heat Shock","Higher",0.0192271511382489,6.57168651239144e-05,-292.575598394636,0.00217590700264494,"Winter",1,1,1,11
"160","Higher zone WINTER 8",1,"Control","Higher",0.0123964904485459,0.00503061442354629,-2.46421001588253,0.0693768131572334,"Winter",1,0,1,12
"161","Higher zone WINTER 8",2,"Control","Higher",0.0188359294809843,0.000804163552469165,-23.4230081967146,1.96934437526514e-05,"Winter",1,0,1,12
"162","Higher zone WINTER 8",3,"Control","Higher",0.0196133409328859,0.000750633850103339,-26.1290387186586,1.27476049557633e-05,"Winter",1,0,1,12
"163","Higher zone WINTER 8",5,"Control","Higher",0.0184389264911243,0.00282133692502202,-6.53552800716289,0.0966594026368931,"Winter",1,0,1,12
"164","Higher zone WINTER 8",6,"Control","Higher",0.0184523426901566,0.000937066814213102,-19.6915976644119,3.9228107234902e-05,"Winter",1,0,1,12
"165","Higher zone WINTER 8",7,"Control","Higher",0.0231230060621302,0.00214889469731099,-10.7604184100156,0.0589936606957073,"Winter",1,0,1,12
"166","Higher zone WINTER 8",8,"Control","Higher",0.01898563101566,0.000567238882114628,-33.4702567371313,4.75264085049628e-06,"Winter",1,0,1,12
"167","Higher zone WINTER 8",9,"Control","Higher",0.0191453160939597,0.00154047192554381,-12.4282148713624,0.000240990762858289,"Winter",1,0,1,12
"168","Higher zone WINTER 8",10,"Control","Higher",0.017442916803132,0.000649923867070002,-26.838400137186,1.14581853003194e-05,"Winter",1,0,1,12
"169","Higher zone WINTER 8",11,"Control","Higher",0.0217266433138686,0.00163593992699272,-13.2808319886219,0.00562179627851903,"Winter",1,0,1,12
"170","Higher zone WINTER 8",12,"Control","Higher",0.0178542192706935,0.000956949977972418,-18.6574216852201,4.8581705163458e-05,"Winter",1,0,1,12
"171","Higher zone WINTER 8",1,"Heat Shock","Higher",0.0198321533177005,0.000720933484042781,-27.5089918233339,1.03857107165597e-05,"Winter",1,1,1,12
"172","Higher zone WINTER 8",2,"Heat Shock","Higher",0.0217474679843671,0.00201864795127466,-10.773284153205,0.00042093585805387,"Winter",1,1,1,12
"173","Higher zone WINTER 8",3,"Heat Shock","Higher",0.029015623125,NA,NA,NA,"Winter",1,1,1,12
"174","Higher zone WINTER 8",4,"Heat Shock","Higher",0.0183995041301059,0.00109095474102863,-16.8655063662472,7.24507569750811e-05,"Winter",1,1,1,12
"175","Higher zone WINTER 8",5,"Heat Shock","Higher",0.0232372621313364,0.00100296520781339,-23.1685625287014,0.0274606973154601,"Winter",1,1,1,12
"176","Higher zone WINTER 8",6,"Heat Shock","Higher",0.0186315370131115,0.00097801367956408,-19.0503848794997,4.47301362660754e-05,"Winter",1,1,1,12
"177","Higher zone WINTER 8",7,"Heat Shock","Higher",0.0182260462294503,0.00179302159239444,-10.1649898176134,0.00052748452526278,"Winter",1,1,1,12
"178","Higher zone WINTER 8",8,"Heat Shock","Higher",0.0192513545496722,0.000881002131221183,-21.8516549136917,2.59522256780453e-05,"Winter",1,1,1,12
"179","Higher zone WINTER 8",9,"Heat Shock","Higher",0.0181339920736258,0.00192886287741538,-9.40138995153708,0.00071337128448471,"Winter",1,1,1,12
"180","Higher zone WINTER 8",10,"Heat Shock","Higher",0.0178675388345941,0.00314692308280746,-5.67778060169615,0.00474861837405234,"Winter",1,1,1,12
"181","Higher zone WINTER 8",11,"Heat Shock","Higher",0.0185456024523449,0.000777851771417986,-23.8420778017092,1.83526413006352e-05,"Winter",1,1,1,12
"182","Higher zone WINTER 8",12,"Heat Shock","Higher",0.0195836489884014,0.000906091712669263,-21.6133187342701,2.71077035378186e-05,"Winter",1,1,1,12
